video_id,exercise_id,exercise_name,equipment,youtube_link
349,163,Seated Calf Raise,dumbbell,https://youtu.be/71lLP3aglGQ?si=K7W1KETI-6nu_tGL
351,165,Seated Wide Grip Row,cable,https://youtu.be/YKAeU55CkVk?si=K8J27Gs-NYLkwsuA
353,165,Seated Wide Grip Row,lever,https://youtu.be/TIr-oyMwAko?si=mVnwKtaNjS64Yaio
355,167,Clap Push-Up,plyometric,https://youtu.be/w0rCK91Mwhg?si=QxPbd6h9YqiD2hUG
357,167,Clap Push-Up,body weight,https://youtu.be/EYwWCgM198U?si=n8mb6H1hupO6AyA8
359,169,45  Reverse Calf Raise,lever,https://youtu.be/y_HYoKh7LJA?si=ES4AuQNlA08wUhTK
361,171,Lying Calf Press,lever,https://youtu.be/uymqyDAkWzU?si=4PZ5TDe3lt56Azux
363,173,Seated Shrug,dumbbell,https://youtu.be/WLKlzUFqwgM?si=RXCvFWs-AsTDf-Cp
365,173,Seated Shrug,lever,https://youtu.be/cbstPBIydw4?si=tpXZzYShDfjlxRet
367,173,Seated Shrug,barbell,https://youtube.com/shorts/x6IQncX1rJs?si=OQdrL5_cYglUqvFQ
369,175,Pull-Up: Self-Assisted,assisted machine,https://youtu.be/A1-iTX3zUtI?si=MbmQpX6gpHjuPr3K
371,175,Pull-Up: Self-Assisted,body weight,https://youtube.com/shorts/67szBNNZMTA?si=eJ2kdZ1ZimcY1Akx
373,177,Skipping Rope,plyometric,https://youtu.be/_4wdkpXBxCY?si=iwMox5xKzKZUbWmM
375,179,Pull-Up,assisted machine,https://youtu.be/-POHTgAPBZs?si=4C5R1VKQ7UyVzDFK
377,179,Pull-Up,body weight,https://youtu.be/XWt6FQAK5wM?si=UXnlCGS6ob7-Ofuq
379,179,Pull-Up,body weight (weighted),https://youtu.be/-27Ofi_wMFc?si=nMAUOUn6hFMj9TEB
381,181,Incline Fly,dumbbell,https://youtu.be/idAvu2HvqSQ?si=2DENaWcH9mFNdgh-
383,181,Incline Fly,cable,https://youtu.be/GtHNC-5GtR0?si=l62DRibs5geCsZTS
385,183,Shoulder External Rotation,cable,https://youtu.be/GxDF2AYsI1Q?si=Jre-AwFTuUNtq_gI
